Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
35,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Italy
36,Not yet recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2021,2023,Others
37,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 4,10001-50k persons,Others Only,Interventional,2021,2022,Brazil
38,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,United States of America
39,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2020,2021,France
40,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,Male,Adults & Older Adults,,1-100 persons,Industry Only,Observational,2021,2021,Spain
41,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2022,United States of America
42,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2023,Switzerland
43,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,France
44,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2021,2021,Brazil
45,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Spain
46,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Industry Only,Interventional,2021,2022,Others
47,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,301-400 persons,Others Only,Interventional,2021,2021,Others
48,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,401-500 persons,Others Only,Observational,2020,2022,Others
49,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Egypt
50,Enrolling by invitation,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2020,Denmark
51,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Denmark
52,Recruiting,No Results Available,Covid-19 Only,Others,All,Children Only,,401-500 persons,Others Only,Observational,2020,2021,United Kingdom
53,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Industry & Others,Observational,2020,2020,United States of America
54,Completed,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,Female,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
55,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults Only,Phase 3,1001-5k persons,Industry & Others,Interventional,2020,2021,Indonesia
56,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Industry Only,Observational,2020,2021,Canada
57,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2021,2022,Others
58,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1001-5k persons,Industry Only,Interventional,2020,2021,Israel
59,Completed,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2020,Belgium
60,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults Only,,901-1k persons,Others Only,Observational,2020,2021,Pakistan
61,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
62,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,601-700 persons,Others Only,Observational,2020,2021,United States of America
63,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,5001-10k persons,Others Only,Observational,2020,2020,Sweden
64,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2021,United States of America
65,Completed,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,Above 1M persons,Others Only,Observational,2019,2020,Turkey
66,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,101-200 persons,Others & Industry,Interventional,2020,2021,Spain
67,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2021,Hungary
68,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,India
69,Completed,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2019,2020,France
70,Not yet recruiting,No Results Available,Others,Others,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2020,Others
71,Completed,Has Results,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,801-900 persons,Others Only,Interventional,2020,2020,Turkey
72,Enrolling by invitation,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Others
73,Recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",,1001-5k persons,Others & U.S. Fed,Observational,2021,2022,Iran
74,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,"Children, Adults & Older Adults",Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2020,Others
75,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,10001-50k persons,Others Only,Observational,2020,2021,United States of America
76,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 3,10001-50k persons,Industry & Others,Interventional,2020,2021,Egypt
77,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2021,2023,Switzerland
78,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,5001-10k persons,Others Only,Observational,2020,2021,Italy
79,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Children & Adults,,10001-50k persons,Others Only,Observational,2020,2022,Canada
80,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Others
81,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,401-500 persons,Others Only,Interventional,2020,2020,United States of America
82,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Italy
83,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Device,All,"Children, Adults & Older Adults",Not Applicable,301-400 persons,Industry Only,Interventional,2021,2021,United States of America
84,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2021,2021,Chile
85,Completed,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,Not Applicable,101-200 persons,Industry Only,Interventional,2020,2020,United States of America
86,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Diagnostic Test,All,Adults & Older Adults,,50001-100k persons,Others Only,Observational,2020,2021,United States of America
87,Completed,Has Results,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,United States of America
88,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Others
89,Completed,No Results Available,Covid-19 Only,,All,Older Adults Only,,1-100 persons,Others Only,Observational,2020,2020,France
90,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults Only,Phase 3,10001-50k persons,NIH Only,Interventional,2021,2021,United States of America
91,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2022,France
92,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,401-500 persons,Industry Only,Observational,2020,2020,United Kingdom
93,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,Others
94,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2020,Iran
95,"Active, not recruiting",No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2021,2021,United States of America
96,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
97,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,France
98,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,201-300 persons,Industry Only,Observational,2020,2021,United States of America
99,Recruiting,No Results Available,Covid-19 Only,Others,Female,Adults Only,,1-100 persons,Others Only,Observational,2020,2021,United States of America
100,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2021,United States of America
101,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Others & Industry,Interventional,2021,2022,United States of America
102,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Others
103,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2020,France
104,Recruiting,No Results Available,Pregnancy & Covid-19,Diagnostic Test,Female,Children & Adults,,201-300 persons,Others Only,Observational,2020,2023,Portugal
105,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,United States of America
106,"Active, not recruiting",No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2020,2020,Italy
107,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Turkey
108,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults Only,Phase 3,201-300 persons,Others Only,Interventional,2020,2021,Others
109,Completed,No Results Available,Covid-19 Only,Drug,All,Adults Only,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Colombia
110,Recruiting,No Results Available,Liver Diseases & Covid-19,Diagnostic Test,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Spain
111,Recruiting,No Results Available,Thrombosis & Covid-19,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2021,Italy
112,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,Others
113,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,701-800 persons,Others Only,Interventional,2020,2021,France
114,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Spain
115,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",Not Applicable,1001-5k persons,Others Only,Interventional,2021,2021,France
116,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Procedural,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Italy
117,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Colombia
118,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,100001-1M persons,Others & Industry,Observational,2021,2021,Korea
119,Completed,No Results Available,Anxiety,Behavioral,Female,Adults Only,,1-100 persons,Others Only,Observational,2020,2020,Turkey
120,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,United Kingdom
121,Completed,No Results Available,Covid-19 Only,,All,Children Only,,1-100 persons,Others Only,Observational,2020,2020,France
122,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Early Phase 1,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
123,Recruiting,No Results Available,Pneumonia & Covid-19,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Italy
124,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults Only,,1-100 persons,Others Only,Observational,2021,2021,Israel
125,Recruiting,No Results Available,Covid-19 Only,Genetic,All,Adults & Older Adults,Not Applicable,901-1k persons,Others Only,Interventional,2020,2022,Germany
126,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Italy
127,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,"Children, Adults & Older Adults",Phase 3,301-400 persons,Others Only,Interventional,2020,2021,Others
128,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
129,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2021,2022,Others
130,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Industry & Others,Interventional,2020,2021,Japan
131,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,France
132,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,United States of America
133,Not yet recruiting,No Results Available,Cancer & Covid-19,Others,All,Adults & Older Adults,Not Applicable,901-1k persons,Others Only,Interventional,2021,2021,Turkey
134,Recruiting,No Results Available,Liver Diseases & Covid-19,Others,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,Argentina
135,Completed,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Industry & Others,Interventional,2020,2020,Canada
136,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2025,Denmark
137,Completed,No Results Available,Covid-19 Only,Combination Product,All,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2020,2020,Spain
138,Completed,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Egypt
139,Not yet recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Others
140,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2022,Switzerland
141,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Vietnam
142,Completed,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Older Adults Only,,301-400 persons,Others Only,Observational,2020,2020,France
143,Completed,No Results Available,Covid-19 Only,Device,All,"Children, Adults & Older Adults",Not Applicable,301-400 persons,Industry Only,Interventional,2020,2021,United States of America
144,Enrolling by invitation,No Results Available,SARS-CoV-2 & Covid-19,Device,All,"Children, Adults & Older Adults",Not Applicable,5001-10k persons,Others & NIH,Interventional,2020,2021,United States of America
145,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
146,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2020,2021,Pakistan
147,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,France
148,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,301-400 persons,Others Only,Interventional,2020,2023,France
149,Recruiting,No Results Available,Covid-19 Only,Others,Female,Adults Only,,1-100 persons,Others & Industry,Observational,2020,2021,Spain
150,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2021,Spain
151,Completed,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,France
152,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,201-300 persons,Others Only,Interventional,2020,2020,Spain
153,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,10001-50k persons,Others Only,Interventional,2020,2021,United States of America
154,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,100001-1M persons,Others Only,Observational,2020,2022,France
155,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2021,2022,Canada
156,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Italy
157,Completed,No Results Available,Covid-19 Only,Others,,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2020,Egypt
158,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",Not Applicable,1001-5k persons,Others Only,Interventional,2021,2021,Others
159,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2023,United States of America
160,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
161,Completed,No Results Available,SARS-CoV-2 & Covid-19,Behavioral,All,"Children, Adults & Older Adults",,50001-100k persons,Others Only,Observational,2020,2021,Spain
162,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
163,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2 & Phase 3,901-1k persons,Others Only,Interventional,2020,2022,Sweden
164,Completed,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,101-200 persons,Industry Only,Observational,2020,2020,United States of America
165,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Industry Only,Observational,2020,2020,Hong Kong
166,Completed,No Results Available,Other Acute Diseases & Covid-19,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Chile
167,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,201-300 persons,Industry Only,Interventional,2021,2021,United States of America
168,Recruiting,No Results Available,Covid-19 Only,Others,All,Children Only,,1001-5k persons,Others Only,Observational,2019,2021,Canada
169,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Canada
170,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2021,2023,France
171,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,France
172,Completed,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Pakistan
173,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Egypt
174,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2020,Italy
175,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,1-100 persons,Industry & Others,Interventional,2020,2020,India
176,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,France
177,Not yet recruiting,No Results Available,Covid-19 Only,Device,Female,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2021,2022,Egypt
178,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2030,United States of America
179,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Others
180,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2021,Others
181,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Children & Adults,,1001-5k persons,Others Only,Observational,2020,2022,Others
182,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Spain
183,Recruiting,No Results Available,Covid-19 Only,Others,All,Children & Adults,,201-300 persons,Others Only,Observational,2020,2021,France
184,"Active, not recruiting",No Results Available,Pregnancy & Covid-19,Diagnostic Test,Female,Adults Only,,901-1k persons,Others Only,Observational,2020,2021,Egypt
185,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Egypt
186,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Canada
187,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults Only,Not Applicable,201-300 persons,Others Only,Interventional,2020,2020,Others
188,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,China
189,Recruiting,No Results Available,Covid-19 Only,Procedural,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Belgium
190,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,France
